"コード","銘柄名","市場","現在値","前日比(%)","株価騰落【率】(%)","日中売買代金(千円)","株価移動平均線乖離率(%)","株価移動平均線乖離率(%)","年初来安値からの上昇率(%)","出来高増加率(倍)","過去60日ボラティリティ(%)","ボリンジャーバンド","RSI(%)"
"1438","岐阜造園","東S","1785","-3.0(-0.17%)","-0.17","1,073","-0.39","-0.76","4.69","0.50","13.88","-1.09","40.00"
"143A","イシン","東G","826","-6.0(-0.72%)","-0.72","829","0.02","0.34","20.58","1.43","30.51","0.14","55.09"
"1443","技研ＨＬＤＧ","東S","303","+1.0(+0.33%)","0.33","27,177","1.07","12.64","90.57","0.64","31.36","1.47","79.45"
"1444","ニッソウ","東G","2896","+26.0(+0.91%)","0.91","11,241","-0.74","-0.83","42.31","0.87","13.00","-0.60","46.01"
"1446","キャンディル","東S","580","+0.0(+0.00%)","0.00","1,858","0.07","2.52","16.00","0.23","6.37","1.45","74.19"
"1447","ＳＡＡＦＨＬＤＧ","東G","394","-4.0(-1.01%)","-1.01","276,595","13.87","33.87","71.30","0.34","53.47","2.56","85.31"
"1449","ＦＵＪＩジャパン","札","252","-1.0(-0.40%)","-0.40","76","-1.18","-5.75","36.96","0.18","29.48","-1.76","34.85"
"1450","ＴＡＮＡＫＥＮ","東S","1445","+12.0(+0.84%)","0.84","4,910","0.42","1.40","28.44","0.30","11.02","1.28","63.53"
"1456","ｉＦ日経平均インバース","東ETF","1667.0","-14.0(-0.83%)","-0.83","23,506","-0.10","-2.51","2.14","0.49","20.45","-0.89","38.55"
"1457","ｉＦＴＯＰＩＸインバース","東ETF","2108.0","+2.0(+0.09%)","0.09","1,322","0.91","-1.23","3.23","0.05","16.51","-0.43","43.33"
"1458","楽天ＥＴＦ日経レバレッジ指数","東ETF","57040.0","+870.0(+1.55%)","1.55","8,973,005","-0.05","4.10","190.72","0.55","41.83","0.77","57.45"
"1459","楽天ＥＴＦ日経ダブルインバース","東ETF","208.0","-3.0(-1.42%)","-1.42","1,313,350","0.10","-5.07","4.52","0.46","41.86","-0.86","40.91"
"145A","Ｌ　ｉｓ　Ｂ","東G","1106","-12.0(-1.07%)","-1.07","3,407","1.24","5.25","121.20","0.14","45.97","1.18","69.10"
"1466","ｉＦＪＰＸ４００ダブルインバ","東ETF","292.0","-1.0(-0.34%)","-0.34","36","1.53","-2.76","6.18","0.01","28.72","-0.53","39.62"
"1469","ＪＰＸ日経４００ベア２倍","東ETF","280.6","+1.6(+0.57%)","0.57","7,882","2.44","-2.22","7.06","0.64","31.62","-0.40","45.23"
"146A","コロンビア・ワークス","東S","3215","-20.0(-0.62%)","-0.62","232,228","-2.28","-4.10","28.50","1.18","50.87","-1.28","34.94"
"1472","ＮＦ　ＪＰＸ４００ダブルインバ","東ETF","115.0","+1.0(+0.88%)","0.88","401","2.31","-2.38","6.48","0.21","25.70","-0.44","42.86"
"1473","ＤＩＡＭ　ＥＴＦ　トピックス","東ETF","3620.0","+7.0(+0.19%)","0.19","13,201","-0.85","0.60","57.39","0.08","17.00","0.26","54.75"
"1474","ＤＩＡＭ　ＪＰＸ日経４００","東ETF","32360.0","-50.0(-0.15%)","-0.15","678","-1.00","0.45","55.20","0.03","17.16","0.19","55.62"
"1475","ｉＳコア　ＴＯＰＩＸ","東ETF","368.2","+0.7(+0.19%)","0.19","1,049,291","-0.82","0.96","60.09","0.51","15.77","0.36","55.78"
"1476","ｉＳコア　Ｊリート","東ETF","2054.0","-12.0(-0.58%)","-0.58","246,059","-0.96","-2.21","22.26","0.23","9.02","-2.14","30.92"
"1477","ｉシェアーズＭＳＣＩ最小分散","東ETF","3085.0","-7.0(-0.23%)","-0.23","9,929","-0.82","0.21","39.47","2.22","18.08","0.11","69.15"
"1478","ｉシェアーズＭＳＣＩ高配当","東ETF","4754.0","-2.0(-0.04%)","-0.04","157,264","-1.32","-0.08","48.10","0.29","14.39","-0.03","53.37"
"147A","ソラコム","東G","1118","-12.0(-1.06%)","-1.06","63,082","-1.58","-8.07","62.97","0.74","48.54","-1.88","29.41"
"1481","上場日本経済貢献株","東ETF","3339.0","-7.0(-0.21%)","-0.21","1,002","-0.97","-1.14","33.56","1.50","13.40","-0.92","48.43"
"1482","ｉＳ米国債７―１０年円ヘッジ","東ETF","1615.0","-2.0(-0.12%)","-0.12","86,987","0.12","-0.80","0.75","0.91","4.08","-1.03","28.57"
"1483","ｉＳ　ＪＰＸ／Ｓ＆Ｐ設備・人材","東ETF","3342.0","-10.0(-0.30%)","-0.30","57","-0.93","-0.61","35.47","0.26","15.89","-0.38","43.53"
"1484","Ｏｎｅ設備人材投資","東ETF","3290.0","-24.0(-0.72%)","-0.72","33","-1.42","-1.50","33.88","0.03","14.28","-1.10","45.54"
"1485","ＭＸＳ積極投資企業２００上場","東ETF","49340.0","-170.0(-0.34%)","-0.34","49","-1.22","-0.94","35.62","0.50","32.03","-0.24","49.33"
"1486","上場米国債券（為替ヘッジなし）","東ETF","23860.0","+0.0(+0.00%)","0.00","29,397","-1.36","-2.83","10.51","0.12","9.02","-2.48","26.85"
"1487","上場米国債券（為替ヘッジあり）","東ETF","12370.0","-15.0(-0.12%)","-0.12","3,774","0.12","-1.34","0.45","0.29","5.58","-0.97","17.59"
"1488","ＩＦ上場投信―東証ＲＥＩＴ","東ETF","2051.0","-5.0(-0.24%)","-0.24","200,718","-0.85","-2.15","22.96","2.70","9.74","-1.93","34.57"
"1489","ＮＦ日経平均高配当株５０指数","東ETF","2996.0","+5.0(+0.17%)","0.17","2,239,886","-0.87","1.25","59.96","0.45","14.03","0.42","59.72"
"148A","ハッチ・ワーク","東G","2083","+2.0(+0.10%)","0.10","1,256","0.40","-0.25","106.03","0.09","45.71","-0.09","57.69"
"1491","中外鉱業","東S","1134","-18.0(-1.56%)","-1.56","236,270","1.29","12.43","62.70","0.44","72.60","0.93","67.47"
"1493","Ｏｎｅ　ＪＰＸ日経中小型","東ETF","23050.0","-70.0(-0.30%)","-0.30","3,061","-0.64","1.32","42.28","0.63","14.05","0.77","62.20"
"1494","Ｏｎｅ高配当日本株","東ETF","41410.0","+20.0(+0.05%)","0.05","68,417","-0.52","1.52","48.18","0.90","12.02","0.70","61.08"
"1495","上場アジアリート","東ETF","11890.0","+85.0(+0.72%)","0.72","915","0.01","0.64","28.54","0.11","12.68","0.50","52.60"
"1496","ｉＳ米ドルＩＧ社債ヘッジ","東ETF","1729.0","+5.0(+0.29%)","0.29","33,781","0.20","-0.37","2.79","0.42","4.70","-0.57","38.16"
"1497","ｉＳ米ドルＨＹ社債ヘッジ","東ETF","1795.0","+0.0(+0.00%)","0.00","8,306","0.09","-0.43","3.64","0.06","4.31","-0.71","27.27"
"1498","Ｏｎｅ　ＥＴＦ　ＥＳＧ","東ETF","28655.0","+10.0(+0.03%)","0.03","428","-1.10","0.24","57.49","0.14","18.32","0.10","54.32"
"1499","ＭＸＳ日本株高配当７０ＭＮ","東ETF","9106.0","+3.0(+0.03%)","0.03","264","-0.31","-0.01","4.82","0.64","6.69","-0.02","58.56"
"149A","シンカ","東G","845","-1.0(-0.12%)","-0.12","1,267","0.36","3.52","21.23","0.21","38.81","1.12","59.89"
"150A","ＪＳＨ","東G","408","-2.0(-0.49%)","-0.49","369","0.64","-0.08","4.35","0.41","18.37","-0.07","45.71"
"1514","住石ＨＬＤＧ","東S","606","-3.0(-0.49%)","-0.49","240,069","-2.63","4.61","19.76","0.59","35.45","0.56","60.11"
"1515","日鉄鉱業","東P","3325","-65.0(-1.92%)","-1.92","6,066,527","3.55","24.79","111.92","0.63","59.68","1.49","77.05"
"1518","三井松島ＨＬＤＧ","東P","1419","-5.0(-0.35%)","-0.35","192,173","-1.10","-0.39","13.98","0.52","27.06","-0.17","38.24"
"151A","ダイブ","東G","707","-4.0(-0.56%)","-0.56","4,320","-0.81","0.72","12.22","0.28","32.06","0.23","47.86"
"153A","カウリス","東G","1160","-17.0(-1.44%)","-1.44","38,556","-2.32","-5.16","68.60","0.66","65.18","-1.60","44.87"
"1540","純金上場信託","東ETF","24090.0","+195.0(+0.82%)","0.82","20,636,130","1.26","9.25","91.95","0.65","22.14","1.95","82.75"
"1541","純プラチナ上場信託","東ETF","14220.0","-680.0(-4.56%)","-4.56","11,071,743","8.12","22.83","270.31","0.83","57.99","2.64","74.04"
"1542","純銀上場信託","東ETF","54830.0","-2,020.0(-3.55%)","-3.55","75,509,780","6.41","34.60","361.73","1.36","54.60","2.18","84.30"
"1543","純パラジウム上場信託","東ETF","89000.0","-4,390.0(-4.70%)","-4.70","1,418,586","0.80","8.41","134.83","1.41","49.07","1.57","62.63"
"1545","ＮＦ　ＮＡＳＤＡＱ―１００ヘな","東ETF","40350.0","+600.0(+1.51%)","1.51","508,132","0.01","-0.19","66.12","0.28","22.08","-0.20","49.73"
"1546","ＮＦダウ・ジョーンズ工業株３０","東ETF","74380.0","+790.0(+1.07%)","1.07","176,331","-0.94","-0.61","42.90","0.31","16.17","-0.43","45.80"
"1547","上場米国株式Ｓ＆Ｐ５００","東ETF","11665.0","+110.0(+0.95%)","0.95","302,000","-0.47","-1.34","53.10","0.57","17.44","-1.25","44.41"
"1550","ＭＸＳ外株（ＭＳＣＩコクサイ）","東ETF","7278.0","+60.0(+0.83%)","0.83","9,091","-0.44","-0.15","51.94","0.06","15.75","-0.14","49.23"
"1551","東証スタンダードＴＯＰ２０","東ETF","6509.0","+44.0(+0.68%)","0.68","522","-0.39","3.35","49.29","0.80","14.08","1.16","72.37"
"1554","上場ＭＳＣＩ世界株式除く日本","東ETF","6050.0","+60.0(+1.00%)","1.00","11,378","-0.43","-0.94","53.75","0.11","15.24","-0.72","44.16"
