"コード","銘柄名","市場","現在値","前日比(%)","株価騰落【率】(%)","日中売買代金(千円)","株価移動平均線乖離率(%)","株価移動平均線乖離率(%)","年初来安値からの上昇率(%)","出来高増加率(倍)","過去60日ボラティリティ(%)","ボリンジャーバンド","RSI(%)"
"5027","ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ","東G","616","-2.0(-0.32%)","-0.32","34,466","-1.60","-0.19","26.23","0.56","60.34","-0.05","49.50"
"5028","セカンドサイトアナリティカ","東G","402","-3.0(-0.74%)","-0.74","4,571","-2.52","-0.43","52.85","0.19","48.94","-0.11","47.50"
"5029","サークレイス","東G","1001","-3.0(-0.30%)","-0.30","5,548","-4.47","-6.08","51.21","0.59","34.85","-2.08","41.16"
"5031","モイ","東G","361","-2.0(-0.55%)","-0.55","18,401","0.39","1.71","100.56","0.81","49.85","0.75","46.15"
"5032","ＡＮＹＣＯＬＯＲ","東P","4490","-30.0(-0.66%)","-0.66","1,311,750","-0.82","-4.03","74.03","0.30","54.29","-0.92","41.26"
"5033","ヌーラボ","東G","743","-8.0(-1.07%)","-1.07","1,118","-1.38","-1.39","2.20","0.54","34.10","-1.13","42.03"
"5034","ｕｎｅｒｒｙ","東G","2624","-98.0(-3.60%)","-3.60","54,338","-3.34","-2.18","96.70","0.72","51.21","-0.44","50.91"
"5035","ＨＯＵＳＥＩ","東G","424","-2.0(-0.47%)","-0.47","254","-0.24","0.17","8.16","0.33","33.73","0.05","52.63"
"5036","日本ビジネスシステムズ","東P","1865","+19.0(+1.03%)","1.03","170,799","0.73","7.21","133.42","0.43","35.15","1.55","82.58"
"5038","ｅＷｅＬＬ","東G","2775","+15.0(+0.54%)","0.54","58,960","0.54","2.05","61.34","0.51","40.72","0.36","57.19"
"5039","キットアライブ","札A","1550","+0.0(+0.00%)","0.00","155","1.48","5.84","62.13","0.33","27.76","1.16","60.33"
"5071","ヴィス","東S","1463","+0.0(+0.00%)","0.00","1,170","-0.85","1.95","56.47","0.08","16.43","0.44","56.85"
"5074","テスＨＬＤＧ","東P","377","-3.0(-0.79%)","-0.79","63,347","-1.98","2.30","50.80","0.55","42.55","0.35","57.01"
"5075","アップコン","名N","1178","-12.0(-1.01%)","-1.01","1,309","0.17","-3.52","44.36","1.10","61.73","-1.03","31.38"
"5076","インフロニア・ＨＬＤＧ","東P","2319.5","+19.5(+0.85%)","0.85","1,576,199","0.74","4.87","112.99","0.38","25.45","1.24","67.04"
"5078","セレ","東S","4850","+15.0(+0.31%)","0.31","970","-0.10","-3.50","30.03","0.07","33.09","-0.52","41.41"
"5079","ノバック","東S","2801","-25.0(-0.88%)","-0.88","10,664","-0.91","0.26","20.21","0.40","17.45","0.12","50.52"
"5101","横浜ゴム","東P","6160.0","+0.0(+0.00%)","0.00","1,175,285","-1.51","-1.80","147.39","0.50","30.04","-0.65","49.26"
"5103","昭和ＨＬＤＧ","東S","46","+1.0(+2.22%)","2.22","698","1.32","2.77","43.75","1.66","31.22","1.05","62.50"
"5105","ＴＯＹＯ　ＴＩＲＥ","東P","4215.0","+0.0(+0.00%)","0.00","1,338,872","-2.70","-3.97","103.52","0.33","27.63","-2.06","46.81"
"5108","ブリヂストン","東P","3494.0","+12.0(+0.34%)","0.34","7,760,540","-0.52","-1.08","1.78","0.63","19.96","-0.89","41.97"
"5110","住友ゴム工業","東P","2540.0","-10.5(-0.41%)","-0.41","1,574,935","-0.76","0.80","97.67","0.32","36.52","0.27","59.14"
"5121","藤倉コンポジット","東P","2262","+75.0(+3.43%)","3.43","322,582","2.39","8.75","102.33","0.95","34.11","1.63","70.41"
"5122","オカモト","東P","5650","+0.0(+0.00%)","0.00","45,244","-1.70","1.84","26.97","0.67","20.35","0.63","59.55"
"5125","ファインズ","東G","810","+24.0(+3.05%)","3.05","5,224","0.32","1.07","79.20","0.30","67.69","0.07","24.87"
"5129","ＦＩＸＥＲ","東G","389","-15.0(-3.71%)","-3.71","19,156","-1.82","-1.40","6.28","0.45","40.11","-0.53","42.37"
"5131","リンカーズ","東G","157","-1.0(-0.63%)","-0.63","12,143","-1.51","-11.58","26.61","0.44","82.62","-1.56","42.35"
"5132","ｐｌｕｓｚｅｒｏ","東G","2606","+15.0(+0.58%)","0.58","84,964","-0.66","-5.97","26.14","0.67","62.21","-1.57","28.23"
"5133","テリロジーＨＬＤＧ","東S","326","-1.0(-0.31%)","-0.31","5,320","-0.12","-0.07","61.39","0.49","26.86","-0.04","53.03"
"5134","ＰＯＰＥＲ","東G","556","-9.0(-1.59%)","-1.59","2,022","-3.14","-0.92","8.81","0.48","64.32","-0.21","48.84"
"5136","ｔｒｉｐｌａ","東G","1821","-2.0(-0.11%)","-0.11","45,113","-2.08","-3.07","22.30","0.41","52.09","-1.04","50.91"
"5137","スマートドライブ","東G","380","+0.0(+0.00%)","0.00","51,033","-1.76","-2.08","9.51","0.35","59.49","-0.45","56.91"
"5138","Ｒｅｂａｓｅ","東G","855","-26.0(-2.95%)","-2.95","1,801","-0.09","-0.60","32.15","0.05","87.12","-0.14","44.27"
"5139","オープンワーク","東G","1124","+2.0(+0.18%)","0.18","65,279","1.19","3.66","72.66","2.10","35.09","1.15","61.14"
"5142","アキレス","東P","1449","+15.0(+1.05%)","1.05","38,872","-1.32","-1.09","34.67","0.73","40.79","-0.52","39.71"
"5161","西川ゴム工業","東S","3865","+30.0(+0.78%)","0.78","198,421","0.44","12.91","114.48","0.28","24.94","1.42","86.14"
"5162","朝日ラバー","東S","691","+0.0(+0.00%)","0.00","3,528","-0.20","1.56","32.12","0.66","18.23","0.79","44.16"
"5184","ニチリン","東S","3710","+0.0(+0.00%)","0.00","60,945","-1.01","-0.57","22.85","0.71","11.98","-0.55","54.05"
"5185","フコク","東P","2015","+16.0(+0.80%)","0.80","48,610","-0.55","2.08","52.65","0.36","18.66","0.73","56.57"
"5186","ニッタ","東P","4135","-25.0(-0.60%)","-0.60","86,770","-1.59","-1.93","31.48","0.72","16.99","-1.63","42.73"
"5187","クリエートメディック","東S","1098","+6.0(+0.55%)","0.55","17,099","1.80","4.57","23.93","0.43","13.14","2.65","82.83"
"5189","櫻護謨","東S","2622","-7.0(-0.27%)","-0.27","1,841","-0.79","9.03","62.66","0.39","26.15","1.25","73.16"
"5191","住友理工","東P","2593","+2.0(+0.08%)","0.08","107,599","0.03","0.04","119.75","0.21","41.13","0.15","62.50"
"5192","三ツ星ベルト","東P","4050","+5.0(+0.12%)","0.12","113,886","-0.78","1.62","30.02","0.40","14.29","0.68","59.77"
"5194","相模ゴム工業","東S","698","-13.0(-1.83%)","-1.83","33,360","-1.66","-3.45","0.00","9.31","22.04","-2.67","10.87"
"5195","バンドー化学","東P","2065","-11.0(-0.53%)","-0.53","68,523","-1.18","-0.34","56.80","0.74","20.02","-0.19","46.34"
"5199","不二ラテックス","東S","2000","-10.0(-0.50%)","-0.50","601","-0.28","1.20","22.32","0.50","16.71","0.63","63.87"
"5201","ＡＧＣ","東P","5531.0","+24.0(+0.44%)","0.44","1,927,660","-0.37","2.74","42.92","0.27","19.66","1.06","62.87"
"5202","日本板硝子","東P","673","+11.0(+1.66%)","1.66","935,903","2.06","13.24","113.65","0.56","72.48","1.32","71.81"
"5204","石塚硝子","東S","3430","+45.0(+1.33%)","1.33","7,138","0.32","4.59","67.24","0.75","17.68","1.00","60.87"
"5208","有沢製作所","東P","1794","+4.0(+0.22%)","0.22","150,137","-0.51","2.50","58.06","0.61","18.60","1.04","67.32"
"5210","日本山村硝子","東S","3115","+15.0(+0.48%)","0.48","108,174","-0.10","1.89","109.34","1.04","19.65","0.63","62.03"
"5214","日本電気硝子","東P","6670.0","+136.0(+2.08%)","2.08","1,531,919","0.17","4.85","122.37","0.42","29.99","1.29","66.22"
"5216","倉元製作所","東S","236","+21.0(+9.77%)","9.77","2,631,583","22.79","52.26","103.45","0.52","121.79","3.30","84.92"
"5218","オハラ","東S","1042","+2.0(+0.19%)","0.19","31,857","-1.53","-0.63","22.88","0.36","25.70","-0.43","50.00"
"5232","住友大阪セメント","東P","4118.0","-8.0(-0.19%)","-0.19","253,690","-0.07","4.55","28.53","0.30","26.02","1.33","68.75"
"5233","太平洋セメント","東P","4264.0","+27.0(+0.64%)","0.64","1,088,646","0.12","4.87","28.24","0.63","27.95","1.11","69.00"
"5237","ノザワ","東S","1109","+9.0(+0.82%)","0.82","4,087","0.84","4.91","49.06","0.52","13.94","2.04","71.85"
"5240","ｍｏｎｏＡＩ　ｔｅｃｈｎｏｌｏ","東G","261","-2.0(-0.76%)","-0.76","20,558","1.01","-7.59","42.62","0.28","109.35","-1.20","30.30"
"5241","日本オーエー研究所","名N","970","-15.0(-1.52%)","-1.52","488","-1.88","-1.23","2.11","0.29","36.74","-0.24","33.80"
"5242","アイズ","東G","1066","-5.0(-0.47%)","-0.47","855","-1.81","0.18","4.72","0.67","21.64","0.09","55.36"
"5244","ｊｉｇ．ｊｐ","東G","224","+0.0(+0.00%)","0.00","39,483","-0.71","0.54","11.44","0.53","38.69","0.20","51.67"
"5246","ＥＬＥＭＥＮＴＳ","東G","734","-21.0(-2.78%)","-2.78","439,253","-1.18","12.18","57.51","0.60","57.59","1.03","63.35"
"5247","ＢＴＭ","東G","730","+1.0(+0.14%)","0.14","1,893","-0.63","-3.31","3.84","0.49","31.09","-1.10","55.12"
"5248","テクノロジーズ","東G","596","-2.0(-0.33%)","-0.33","23,849","-0.30","12.71","31.86","0.45","36.82","1.29","89.60"
"5250","プライム・ストラテジー","東S","1047","-43.0(-3.94%)","-3.94","7,041","-3.36","-13.05","34.75","0.99","84.83","-1.32","32.36"
"5252","日本ナレッジ","東G","606","-8.0(-1.30%)","-1.30","1,916","-0.46","0.97","27.58","0.39","42.86","0.50","48.86"
"5253","カバー","東G","1665","-8.0(-0.48%)","-0.48","922,505","-2.24","-0.02","13.65","0.64","55.24","-0.00","50.15"
"5254","Ａｒｅｎｔ","東G","3610","+25.0(+0.70%)","0.70","117,478","-1.23","10.53","47.11","0.55","52.39","0.92","76.88"
"5255","モンスターラボ","東G","171","+2.0(+1.18%)","1.18","51,533","-0.23","-1.63","200.00","0.38","64.86","-0.57","41.46"
"5256","Ｆｕｓｉｃ","東G","2447","-23.0(-0.93%)","-0.93","3,713","-0.70","2.49","31.56","0.83","39.90","0.47","60.46"
"5257","ノバシステム","東S","2759","+36.0(+1.32%)","1.32","2,756","-0.56","-1.36","18.92","0.08","20.68","-1.18","44.40"
"5258","トランザクション・メディア・","東G","448","-10.0(-2.18%)","-2.18","37,598","-2.82","-2.06","116.43","0.66","62.35","-0.45","46.83"
"5261","リソルＨＬＤＧ","東P","7770","-80.0(-1.02%)","-1.02","32,781","0.86","4.18","72.09","0.37","26.53","1.31","61.15"
"5262","日本ヒューム","東P","1586","-16.0(-1.00%)","-1.00","328,917","-1.50","4.52","11.85","0.52","52.73","0.55","57.29"
"5268","旭コンクリート工業","東S","1040","-8.0(-0.76%)","-0.76","7,725","-1.65","-3.61","106.35","0.50","46.92","-1.30","45.49"
"5269","日本コンクリート工業","東P","339","+2.0(+0.59%)","0.59","35,235","-0.82","0.86","19.37","0.34","22.71","0.33","48.65"
"5271","トーヨーアサノ","東S","2418","+1.0(+0.04%)","0.04","725","-0.80","0.18","33.44","0.15","19.25","0.08","41.13"
"5273","三谷セキサン","東S","7760","-150.0(-1.90%)","-1.90","36,630","-2.09","-4.46","62.17","0.53","32.67","-2.25","33.33"
"5279","日本興業","東S","1480","-4.0(-0.27%)","-0.27","8,368","0.31","6.46","105.56","0.18","28.80","1.26","65.57"
"5280","ヨシコン","東S","2971","-17.0(-0.57%)","-0.57","19,908","-0.72","0.70","109.08","0.47","23.95","0.19","55.80"
"5282","ジオスター","東S","436","-10.0(-2.24%)","-2.24","43,153","-1.40","3.97","66.41","0.61","30.83","0.62","53.33"
"5283","高見澤","東S","3495","+35.0(+1.01%)","1.01","1,048","1.75","2.82","25.95","0.75","20.55","2.23","53.15"
"5284","ヤマウＨＬＤＧ","東S","2511","+5.0(+0.20%)","0.20","1,757","-0.01","2.50","65.20","0.39","17.22","0.75","62.79"
"5285","ヤマックス","東S","2073","-18.0(-0.86%)","-0.86","55,637","-2.03","4.46","90.36","0.43","28.47","0.78","66.85"
"5287","イトーヨーギョー","東S","1222","+9.0(+0.74%)","0.74","41,436","0.31","7.96","144.89","0.58","71.55","0.74","59.74"
"5288","アジアパイルＨＬＤＧ","東P","1432","-15.0(-1.04%)","-1.04","196,165","-2.00","-1.74","88.92","0.72","37.47","-0.79","46.03"
"5290","ベルテクスコーポレーション","東S","1365","-3.0(-0.22%)","-0.22","35,513","0.03","1.62","15.58","1.12","30.20","0.63","55.36"
"5301","東海カーボン","東P","1045.5","-1.5(-0.14%)","-0.14","474,069","-0.74","3.42","36.65","0.35","23.02","0.94","69.70"
"5302","日本カーボン","東P","4565","+30.0(+0.66%)","0.66","110,354","-0.09","1.36","28.23","0.37","11.45","1.03","64.04"
"5304","ＳＥＣカーボン","東S","2744","+9.0(+0.33%)","0.33","38,765","-0.95","7.21","61.41","0.55","31.82","0.90","77.63"
"5310","東洋炭素","東P","5580","+130.0(+2.39%)","2.39","338,065","0.65","7.65","78.85","0.67","33.64","1.08","73.43"
"5331","ノリタケ","東P","6250","+70.0(+1.13%)","1.13","168,964","-0.38","5.43","109.10","0.53","25.47","1.08","70.00"
"5332","ＴＯＴＯ","東P","5198.0","+56.0(+1.09%)","1.09","3,078,892","2.58","13.65","59.01","0.69","29.99","2.02","82.00"
"5333","日本碍子","東P","3760.0","+53.0(+1.43%)","1.43","2,148,390","0.59","6.09","144.24","0.49","31.55","1.21","68.98"
"5334","日本特殊陶業","東P","6998.0","+20.0(+0.29%)","0.29","3,363,920","-0.86","0.82","88.42","0.44","21.90","0.55","51.14"
"5337","ダントーＨＬＤＧ","東S","537","+1.0(+0.19%)","0.19","377","-0.26","2.68","97.43","0.24","43.32","0.99","67.21"
"5341","ＡＳＡＨＩ　ＥＩＴＯＨＬＤＧ","東S","211","-5.0(-2.31%)","-2.31","18,404","-3.39","-9.72","1.44","0.90","51.62","-2.45","26.47"
"5342","ジャニス工業","名M","385","-5.0(-1.28%)","-1.28","505","0.26","1.13","63.14","4.33","41.00","0.29","61.32"
"5344","ＭＡＲＵＷＡ","東P","49070.0","+220.0(+0.45%)","0.45","2,816,907","-1.66","7.96","132.61","0.45","60.20","1.21","72.03"
"5351","品川リフラ","東P","2154","-7.0(-0.32%)","-0.32","81,185","-1.08","0.39","58.97","0.78","26.69","0.19","52.85"
"5352","黒崎播磨","東P","4180","+0.0(+0.00%)","0.00","170,573","0.12","0.36","109.00","0.23","2.00","1.39","80.00"
"5355","日本坩堝","東S","640","-2.0(-0.31%)","-0.31","2,437","0.63","2.93","11.11","0.16","9.52","1.53","69.23"
"5356","美濃窯業","東S","1180","-9.0(-0.76%)","-0.76","6,143","-0.77","-1.15","59.68","1.00","24.69","-1.27","34.48"
"5357","ヨータイ","東P","1823","+2.0(+0.11%)","0.11","42,293","-1.09","-0.68","18.92","0.50","14.71","-0.30","44.93"
"5363","東京窯業","東S","625","-7.0(-1.11%)","-1.11","13,168","-2.16","2.68","55.47","0.43","18.98","0.61","68.69"
"5367","ニッカトー","東S","668","+0.0(+0.00%)","0.00","3,612","-0.30","5.44","43.35","0.23","22.47","1.30","69.00"
"5368","日本インシュレーション","東S","1108","-7.0(-0.63%)","-0.63","7,528","-1.04","0.62","35.45","0.67","15.20","0.22","47.06"
"5380","新東","東S","1621","-9.0(-0.55%)","-0.55","649","-0.93","-0.57","27.14","1.33","17.69","-0.76","47.97"
"5381","マイポックス","東S","490","-13.0(-2.58%)","-2.58","234,417","-2.55","5.56","25.32","0.39","49.31","0.90","58.05"
"5384","フジミインコーポレーテッド","東P","2831","+114.0(+4.20%)","4.20","982,987","3.66","13.07","84.31","1.02","29.47","2.11","82.25"
"5386","鶴弥","東S","407","+1.0(+0.25%)","0.25","3,410","0.25","-0.03","18.31","0.99","16.36","-0.07","46.15"
"5388","クニミネ工業","東S","1318","+3.0(+0.23%)","0.23","6,556","0.06","5.01","34.90","1.14","18.92","0.83","68.95"
"5391","エーアンドエーマテリアル","東S","1454","+21.0(+1.47%)","1.47","21,635","1.54","4.35","45.40","1.24","18.37","1.23","58.28"
"5393","ニチアス","東P","7922.0","+53.0(+0.67%)","0.67","711,052","-0.20","8.86","94.02","0.28","27.42","1.36","77.70"
"5401","日本製鉄","東P","647.5","-7.9(-1.21%)","-1.21","8,011,622","-2.63","0.12","11.60","0.66","23.99","0.04","48.90"
"5406","神戸製鋼所","東P","2261.0","-17.0(-0.75%)","-0.75","2,798,073","-1.49","4.62","56.31","0.60","21.80","0.88","66.13"
"5408","中山製鋼所","東P","636","-8.0(-1.24%)","-1.24","98,781","-2.09","0.91","15.43","0.57","29.18","0.22","54.48"
"5410","合同製鐵","東P","4025","-40.0(-0.98%)","-0.98","144,196","-2.00","0.05","25.78","0.48","25.40","0.01","48.61"
"5411","ＪＦＥＨＬＤＧ","東P","2110.0","-1.0(-0.05%)","-0.05","3,002,605","-1.05","2.60","35.65","0.47","20.24","0.65","58.76"
"5423","東京製鐵","東P","1524","-21.0(-1.36%)","-1.36","577,132","-3.00","-0.34","14.76","0.38","23.49","-0.08","53.87"
"5440","共英製鋼","東P","2619","-12.0(-0.46%)","-0.46","127,428","-1.07","3.35","64.92","0.74","22.92","0.80","68.49"
"5444","大和工業","東P","11560.0","+20.0(+0.17%)","0.17","1,351,845","-0.81","3.16","70.70","0.60","20.82","0.78","65.38"
"5445","東京鐵鋼","東P","6400","-50.0(-0.78%)","-0.78","276,976","-1.63","1.96","36.32","0.59","19.99","0.47","58.41"
"5446","北越メタル","東S","1270","+2.0(+0.16%)","0.16","254","0.22","1.68","5.75","0.06","7.89","1.51","69.23"
"5449","大阪製鐵","東S","3060","-35.0(-1.13%)","-1.13","70,913","-4.20","3.09","38.46","0.27","35.89","0.49","60.52"
"5451","ヨドコウ","東P","1411","-18.0(-1.26%)","-1.26","196,377","-1.44","1.39","28.27","0.58","14.79","0.46","58.94"
"5458","高砂鐵工","東S","1130","-2.0(-0.18%)","-0.18","2,698","-0.96","4.98","37.80","0.96","22.61","0.79","67.23"
"5461","中部鋼鈑","東P","2223","-41.0(-1.81%)","-1.81","175,096","-2.51","-1.23","31.54","1.15","23.62","-0.35","45.96"
"5463","丸一鋼管","東P","1542.0","-1.5(-0.10%)","-0.10","268,362","-0.59","2.75","24.05","0.49","17.33","0.96","64.53"
"5464","モリ工業","東S","1004","-20.0(-1.95%)","-1.95","24,523","-2.47","-2.37","20.96","0.75","19.98","-1.57","40.54"
"5471","大同特殊鋼","東P","1981.0","+4.5(+0.23%)","0.23","1,387,273","-0.47","9.34","114.51","0.49","35.37","0.86","69.12"
"5476","日本高周波鋼業","東S","587","-3.0(-0.51%)","-0.51","23,120","-1.24","5.36","124.05","1.10","21.14","0.96","68.32"
"5480","日本冶金工業","東P","4775","-15.0(-0.31%)","-0.31","266,990","-1.38","1.57","44.70","0.70","21.58","0.34","62.07"
"5482","愛知製鋼","東P","3210","-75.0(-2.28%)","-2.28","311,232","-3.63","2.83","63.78","0.46","29.13","0.48","64.34"
"5484","東北特殊鋼","東S","2277","+49.0(+2.20%)","2.20","14,475","2.04","5.35","29.30","5.73","20.65","1.23","68.22"
"5491","日本金属","東S","994","-7.0(-0.70%)","-0.70","19,763","-1.13","6.18","96.44","0.64","31.07","0.92","72.38"
"5527","ｐｒｏｐｅｒｔｙ　ｔｅｃｈｎｏ","東G","733","-4.0(-0.54%)","-0.54","34,227","0.03","-1.32","37.78","0.70","32.86","-0.50","40.93"
"5530","日本システムバンク","名M","983","-3.0(-0.30%)","-0.30","393","-0.08","1.13","11.70","0.29","7.69","0.96","63.89"
"5532","リアルゲイト","東G","2693","+18.0(+0.67%)","0.67","342,095","2.29","10.48","162.73","1.50","56.62","1.65","67.42"
"5533","エリッツＨＬＤＧ","東S","1965","-3.0(-0.15%)","-0.15","1,181","-0.10","2.70","22.74","0.40","19.86","1.35","67.04"
"5535","ミガロＨＬＤＧ","東P","414","+4.0(+0.98%)","0.98","89,558","0.78","2.36","22.85","1.26","52.95","0.47","40.91"
"5541","大平洋金属","東P","2907","-16.0(-0.55%)","-0.55","904,027","0.28","13.01","102.30","0.61","47.85","0.98","74.21"
"5542","新報国マテリアル","東S","764","+1.0(+0.13%)","0.13","915","-0.29","2.65","31.72","0.16","23.03","0.90","67.35"
"5563","新日本電工","東P","388","-4.0(-1.02%)","-1.02","254,333","0.73","5.80","70.18","0.28","32.29","1.02","70.11"
"5571","エキサイトＨＬＤＧ","東S","1315","+3.0(+0.23%)","0.23","393","2.19","6.07","41.25","0.06","24.94","2.72","84.43"
"5572","Ｒｉｄｇｅ−ｉ","東G","2066","-20.0(-0.96%)","-0.96","9,486","-3.02","-1.58","11.62","0.64","43.52","-0.30","51.06"
"5574","ＡＢＥＪＡ","東G","2835","+82.0(+2.98%)","2.98","254,491","-1.09","5.39","78.19","0.72","51.69","0.59","61.75"
"5575","Ｇｌｏｂｅｅ","東G","676","+2.0(+0.30%)","0.30","1,553","0.24","4.65","11.55","0.23","37.13","1.06","71.32"
"5576","オービーシステム","東S","2961","-24.0(-0.80%)","-0.80","20,342","-2.77","0.20","47.17","0.41","23.18","0.06","50.93"
"5578","ＡＲアドバンストテクノロジ","東G","1216","+3.0(+0.25%)","0.25","8,153","-0.72","-2.53","20.28","0.25","42.80","-0.65","45.26"
"5580","プロディライト","東G","1748","-2.0(-0.11%)","-0.11","5,036","-2.20","4.67","137.82","0.48","27.39","0.92","63.97"
"5582","グリッド","東G","2489","+14.0(+0.57%)","0.57","40,625","-1.04","-6.04","39.99","0.39","58.77","-2.07","33.01"
"5586","Ｌａｂｏｒｏ．ＡＩ","東G","901","+1.0(+0.11%)","0.11","34,196","-0.33","2.83","15.07","0.49","37.37","0.58","54.19"
"5587","インバウンドプラットフォーム","東G","942","+8.0(+0.86%)","0.86","471","1.40","8.76","64.69","0.14","73.99","1.73","82.68"
"5588","ファーストアカウンティング","東G","1040","-17.0(-1.61%)","-1.61","32,057","-0.86","0.21","8.33","0.82","46.27","0.06","48.15"
"5589","オートサーバー","東S","2628","+13.0(+0.50%)","0.50","4,189","1.01","3.45","54.13","0.27","7.54","2.26","82.98"
"5590","ネットスターズ","東G","908","+24.0(+2.71%)","2.71","71,776","-1.65","-6.13","40.78","0.36","63.51","-1.23","32.44"
"5591","ＡＶＩＬＥＮ","東G","1321","+6.0(+0.46%)","0.46","8,710","0.17","0.24","58.20","0.39","44.58","0.08","51.42"
"5592","くすりの窓口","東G","2689","-39.0(-1.43%)","-1.43","58,105","-2.08","-1.25","94.43","0.55","50.90","-0.28","41.11"
"5596","アウトルックコンサルティング","東G","1784","+0.0(+0.00%)","0.00","178","-0.15","-0.39","88.58","0.08","50.95","-1.23","36.36"
"5597","ブルーイノベーション","東G","1631","+0.0(+0.00%)","0.00","67,327","-2.08","10.66","218.55","0.64","90.67","0.59","64.79"
"5599","Ｓ＆Ｊ","東G","2286","-85.0(-3.58%)","-3.58","111,925","-2.78","10.29","162.46","0.69","50.58","1.18","65.57"
"5602","栗本鐵工所","東P","1812","+3.0(+0.17%)","0.17","303,546","-1.51","1.99","13.96","0.70","32.48","0.33","59.38"
"5603","虹技","東S","1372","-4.0(-0.29%)","-0.29","1,785","-0.36","3.87","34.12","0.17","17.35","0.91","68.47"
"5607","中央可鍛工業","名M","723","-3.0(-0.41%)","-0.41","4,851","0.33","5.09","80.75","1.26","14.66","1.38","87.32"
"5609","日本鋳造","東S","846","+2.0(+0.24%)","0.24","2,609","-0.56","0.37","20.86","0.10","26.40","0.26","53.33"
"5612","日本鋳鉄管","東S","1837","+15.0(+0.82%)","0.82","24,910","-0.98","3.79","83.52","0.19","41.03","0.43","57.88"
"5616","雨風太陽","東G","913","-4.0(-0.44%)","-0.44","4,739","-3.49","0.11","10.00","0.63","28.20","0.03","55.21"
"5618","ナイル","東G","316","+0.0(+0.00%)","0.00","347","-0.19","-2.59","49.06","0.26","44.67","-0.58","43.24"
"5619","マーソ","東G","899","+12.0(+1.35%)","1.35","2,787","1.15","1.66","7.54","0.52","20.79","0.98","50.00"
"5621","ヒューマンテクノロジーズ","東G","1836","+3.0(+0.16%)","0.16","29,234","-0.05","-1.61","64.22","0.46","50.54","-0.75","43.27"
"5631","日本製鋼所","東P","8628.0","-284.0(-3.19%)","-3.19","7,340,726","-4.98","0.78","123.18","0.76","57.57","0.09","53.75"
"5632","三菱製鋼","東P","1903","+5.0(+0.26%)","0.26","137,293","-2.04","0.51","57.53","0.48","26.97","0.11","52.74"
"5644","メタルアート","東S","5550","-50.0(-0.89%)","-0.89","5,578","-1.39","4.76","125.61","0.11","32.85","0.96","71.43"
"5658","日亜鋼業","東S","389","-6.0(-1.52%)","-1.52","4,776","0.26","4.49","41.45","0.16","23.53","1.22","71.19"
"5659","日本精線","東P","1211","-11.0(-0.90%)","-0.90","33,637","-1.90","-0.28","20.98","0.55","19.55","-0.12","46.32"
"5660","神鋼鋼線工業","東S","1462","-5.0(-0.34%)","-0.34","1,754","-0.37","3.50","31.71","0.22","17.51","1.04","77.54"
"5695","パウダーテック","東S","2430","+55.0(+2.32%)","2.32","1,212","0.55","3.20","27.29","0.19","17.22","1.45","68.53"
"5698","エンビプロＨＬＤＧ","東S","903","-2.0(-0.22%)","-0.22","323,666","-0.20","21.53","150.14","0.41","76.17","0.95","67.77"
"5699","イボキン","東S","1595","+2.0(+0.13%)","0.13","8,060","0.31","6.31","47.69","0.49","31.56","0.89","66.55"
"5702","大紀アルミニウム工業所","東P","1324","+14.0(+1.07%)","1.07","164,682","-0.42","6.30","64.68","0.65","25.39","0.90","66.09"
"5703","日本軽金属ＨＬＤＧ","東P","2875","+53.0(+1.88%)","1.88","794,545","2.40","8.77","132.61","0.71","24.89","1.77","86.16"
"5704","ＪＭＣ","東G","401","+1.0(+0.25%)","0.25","1,084","0.65","4.23","13.92","0.31","23.47","1.59","73.53"
"5707","東邦亜鉛","東P","1818","-86.0(-4.52%)","-4.52","5,629,379","3.37","36.33","320.83","0.33","112.98","1.06","67.39"
"5711","三菱マテリアル","東P","4471.0","+49.0(+1.11%)","1.11","4,767,623","1.30","11.99","131.66","0.56","35.52","1.28","79.36"
"5713","住友金属鉱山","東P","8911.0","+402.0(+4.72%)","4.72","57,359,151","4.91","23.44","275.28","0.99","48.79","1.85","84.53"
"5714","ＤＯＷＡ　ＨＬＤＧ","東P","9275.0","+68.0(+0.74%)","0.74","2,772,710","1.59","14.11","139.05","0.53","39.65","1.43","79.46"
"5715","古河機械金属","東P","4770","+160.0(+3.47%)","3.47","1,726,563","2.67","11.47","214.02","0.99","57.76","1.05","66.51"
"5726","大阪チタニウムテクノロジーズ","東P","2241","-9.0(-0.40%)","-0.40","1,650,061","-1.68","5.07","73.32","0.84","63.36","0.44","54.13"
"5727","東邦チタニウム","東P","1795","+29.0(+1.64%)","1.64","1,801,909","2.83","18.78","124.09","1.01","49.78","1.55","81.96"
"5729","日本精鉱","東S","12350","+0.0(+0.00%)","0.00","87,498","-0.56","9.13","238.82","0.34","73.95","0.86","66.03"
"5741","ＵＡＣＪ","東P","2437","-3.0(-0.12%)","-0.12","1,300,992","1.62","10.18","56.62","0.57","39.08","1.74","76.94"
"5742","エヌアイシ・オートテック","東S","797","-2.0(-0.25%)","-0.25","1,909","-0.03","2.34","17.03","0.75","14.54","1.12","69.70"
"5753","日本伸銅","東S","2520","+51.0(+2.07%)","2.07","8,991","2.70","6.81","43.59","0.40","17.78","1.74","71.37"
"5757","ＣＫサンエツ","東P","4290","-10.0(-0.23%)","-0.23","34,249","-0.33","2.67","39.06","1.04","21.71","0.78","59.65"
